SP-[1] Epoch: 57/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 61.83% | Val: Loss nan  Acc(top1) 46.62% | HA 0.00@0

SP-[1] Epoch: 58/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 64.29% | Val: Loss nan  Acc(top1) 32.37% | HA 0.00@0

SP-[1] Epoch: 59/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 60.16% | Val: Loss nan  Acc(top1) 51.45% | HA 0.00@0

SP-[1] Epoch: 60/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 61.16% | Val: Loss nan  Acc(top1) 38.41% | HA 0.00@0

SP-[1] Epoch: 61/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.55  Acc 61.72% | Val: Loss nan  Acc(top1) 38.16% | HA 0.00@0

SP-[1] Epoch: 62/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 61.05% | Val: Loss -0.01  Acc(top1) 48.31% | HA 0.00@0

SP-[1] Epoch: 63/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 61.05% | Val: Loss nan  Acc(top1) 51.45% | HA 0.00@0

SP-[1] Epoch: 64/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.53  Acc 59.38% | Val: Loss nan  Acc(top1) 16.67% | HA 0.00@0

SP-[1] Epoch: 65/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 64.84% | Val: Loss nan  Acc(top1) 33.09% | HA 0.00@0

SP-[1] Epoch: 66/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 62.39% | Val: Loss nan  Acc(top1) 43.48% | HA 0.00@0

SP-[1] Epoch: 67/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 61.38% | Val: Loss nan  Acc(top1) 28.74% | HA 0.00@0

SP-[1] Epoch: 68/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.53  Acc 57.81% | Val: Loss 0.01  Acc(top1) 43.96% | HA 0.00@0

SP-[1] Epoch: 69/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 62.05% | Val: Loss nan  Acc(top1) 29.23% | HA 0.00@0

SP-[1] Epoch: 70/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.53  Acc 61.50% | Val: Loss nan  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 71/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 64.06% | Val: Loss 0.04  Acc(top1) 49.28% | HA 0.00@0

SP-[1] Epoch: 72/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 60.27% | Val: Loss nan  Acc(top1) 26.81% | HA 0.00@0

SP-[1] Epoch: 73/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 63.39% | Val: Loss nan  Acc(top1) 52.66% | HA 0.00@0

SP-[1] Epoch: 74/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.48  Acc 62.83% | Val: Loss nan  Acc(top1) 49.76% | HA 0.00@0

SP-[1] Epoch: 75/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 63.28% | Val: Loss nan  Acc(top1) 48.31% | HA 0.00@0

SP-[1] Epoch: 76/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 63.50% | Val: Loss nan  Acc(top1) 44.69% | HA 0.00@0

SP-[1] Epoch: 77/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.54  Acc 59.38% | Val: Loss nan  Acc(top1) 49.76% | HA 0.00@0

SP-[1] Epoch: 78/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 63.73% | Val: Loss 1.67  Acc(top1) 24.15% | HA 0.00@0

SP-[1] Epoch: 79/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 64.17% | Val: Loss 1.84  Acc(top1) 18.84% | HA 0.00@0

SP-[1] Epoch: 80/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.56  Acc 59.26% | Val: Loss 1.84  Acc(top1) 18.84% | HA 0.00@0

SP-[1] Epoch: 81/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.55  Acc 60.49% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 82/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.53  Acc 62.95% | Val: Loss nan  Acc(top1) 52.90% | HA 0.00@0

SP-[1] Epoch: 83/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.54  Acc 59.04% | Val: Loss 1.65  Acc(top1) 24.64% | HA 0.00@0

SP-[1] Epoch: 84/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 61.50% | Val: Loss nan  Acc(top1) 26.81% | HA 0.00@0

SP-[1] Epoch: 85/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 61.72% | Val: Loss nan  Acc(top1) 51.69% | HA 0.00@0

SP-[1] Epoch: 86/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.48  Acc 64.96% | Val: Loss 0.27  Acc(top1) 50.48% | HA 0.00@0

SP-[1] Epoch: 87/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 63.06% | Val: Loss nan  Acc(top1) 54.35% | HA 0.00@0

SP-[1] Epoch: 88/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.55  Acc 60.49% | Val: Loss nan  Acc(top1) 43.00% | HA 0.00@0

SP-[1] Epoch: 89/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 59.04% | Val: Loss nan  Acc(top1) 45.65% | HA 0.00@0

SP-[1] Epoch: 90/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 61.61% | Val: Loss nan  Acc(top1) 49.03% | HA 0.00@0

SP-[1] Epoch: 91/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 65.96% | Val: Loss nan  Acc(top1) 52.90% | HA 0.00@0

SP-[1] Epoch: 92/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.49  Acc 62.50% | Val: Loss nan  Acc(top1) 49.28% | HA 0.00@0

SP-[1] Epoch: 93/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.55  Acc 59.60% | Val: Loss nan  Acc(top1) 41.55% | HA 0.00@0

SP-[1] Epoch: 94/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 61.27% | Val: Loss -0.34  Acc(top1) 48.07% | HA 0.00@0

SP-[1] Epoch: 95/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 61.72% | Val: Loss nan  Acc(top1) 52.66% | HA 0.00@0

SP-[1] Epoch: 96/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 60.71% | Val: Loss 1.81  Acc(top1) 19.81% | HA 0.00@0

SP-[1] Epoch: 97/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 61.83% | Val: Loss 1.84  Acc(top1) 18.84% | HA 0.00@0

SP-[1] Epoch: 98/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 64.51% | Val: Loss nan  Acc(top1) 47.10% | HA 0.00@0

SP-[1] Epoch: 99/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 64.51% | Val: Loss nan  Acc(top1) 50.97% | HA 0.00@0

SP-[1] Epoch: 100/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.49  Acc 63.84% | Val: Loss nan  Acc(top1) 55.56% | HA 0.00@0

SP-[1] Epoch: 101/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.55  Acc 59.38% | Val: Loss nan  Acc(top1) 52.90% | HA 0.00@0

SP-[1] Epoch: 102/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.56  Acc 60.49% | Val: Loss nan  Acc(top1) 49.03% | HA 0.00@0

SP-[1] Epoch: 103/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.54  Acc 64.17% | Val: Loss nan  Acc(top1) 50.24% | HA 0.00@0

SP-[1] Epoch: 104/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 64.17% | Val: Loss nan  Acc(top1) 50.97% | HA 0.00@0

SP-[1] Epoch: 105/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 62.83% | Val: Loss -0.40  Acc(top1) 46.14% | HA 0.00@0

SP-[1] Epoch: 106/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 63.50% | Val: Loss 0.32  Acc(top1) 50.00% | HA 0.00@0

SP-[1] Epoch: 107/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.49  Acc 64.62% | Val: Loss 0.83  Acc(top1) 39.86% | HA 0.00@0

SP-[1] Epoch: 108/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 61.72% | Val: Loss nan  Acc(top1) 53.86% | HA 0.00@0

SP-[1] Epoch: 109/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 63.28% | Val: Loss nan  Acc(top1) 47.58% | HA 0.00@0

SP-[1] Epoch: 110/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 63.84% | Val: Loss nan  Acc(top1) 57.25% | HA 0.00@0

SP-[1] Epoch: 111/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 59.26% | Val: Loss nan  Acc(top1) 49.52% | HA 0.00@0

SP-[1] Epoch: 112/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 64.73% | Val: Loss nan  Acc(top1) 10.63% | HA 0.00@0

SP-[1] Epoch: 113/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 60.83% | Val: Loss nan  Acc(top1) 48.55% | HA 0.00@0

SP-[1] Epoch: 114/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.49  Acc 63.28% | Val: Loss nan  Acc(top1) 51.21% | HA 0.00@0

SP-[1] Epoch: 115/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.49  Acc 64.62% | Val: Loss nan  Acc(top1) 46.38% | HA 0.00@0

SP-[1] Epoch: 116/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.53  Acc 63.62% | Val: Loss nan  Acc(top1) 51.21% | HA 0.00@0

SP-[1] Epoch: 117/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.55  Acc 61.50% | Val: Loss nan  Acc(top1) 49.03% | HA 0.00@0

SP-[1] Epoch: 118/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 62.50% | Val: Loss nan  Acc(top1) 52.42% | HA 0.00@0

SP-[1] Epoch: 119/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 63.28% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 120/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 62.28% | Val: Loss nan  Acc(top1) 50.97% | HA 0.00@0

SP-[1] Epoch: 121/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.50  Acc 59.93% | Val: Loss nan  Acc(top1) 19.32% | HA 0.00@0

SP-[1] Epoch: 122/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.57  Acc 57.25% | Val: Loss nan  Acc(top1) 40.58% | HA 0.00@0

SP-[1] Epoch: 123/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.56  Acc 60.04% | Val: Loss nan  Acc(top1) 51.93% | HA 0.00@0

SP-[1] Epoch: 124/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.53  Acc 63.62% | Val: Loss nan  Acc(top1) 47.10% | HA 0.00@0

