SP-[1] Epoch: 54/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 85.16% | Val: Loss -0.29  Acc(top1) 56.52% | HA 0.00@0

SP-[1] Epoch: 55/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 85.27% | Val: Loss -0.30  Acc(top1) 53.14% | HA 0.00@0

SP-[1] Epoch: 56/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.15  Acc 82.48% | Val: Loss -0.29  Acc(top1) 57.25% | HA 0.00@0

SP-[1] Epoch: 57/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 82.48% | Val: Loss -0.32  Acc(top1) 53.62% | HA 0.00@0

SP-[1] Epoch: 58/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 85.83% | Val: Loss -0.29  Acc(top1) 56.04% | HA 0.00@0

SP-[1] Epoch: 59/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 83.59% | Val: Loss -0.16  Acc(top1) 57.25% | HA 0.00@0

SP-[1] Epoch: 60/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 86.38% | Val: Loss -0.38  Acc(top1) 48.07% | HA 0.00@0

SP-[1] Epoch: 61/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 86.38% | Val: Loss -0.31  Acc(top1) 54.83% | HA 0.00@0

SP-[1] Epoch: 62/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 84.26% | Val: Loss -0.30  Acc(top1) 56.04% | HA 0.00@0

SP-[1] Epoch: 63/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 86.72% | Val: Loss nan  Acc(top1) 57.25% | HA 0.00@0

SP-[1] Epoch: 64/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 85.27% | Val: Loss -0.30  Acc(top1) 56.52% | HA 0.00@0

SP-[1] Epoch: 65/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 86.16% | Val: Loss -0.36  Acc(top1) 49.52% | HA 0.00@0

SP-[1] Epoch: 66/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 84.71% | Val: Loss nan  Acc(top1) 57.73% | HA 0.00@0

SP-[1] Epoch: 67/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 86.94% | Val: Loss -0.27  Acc(top1) 57.73% | HA 0.00@0

SP-[1] Epoch: 68/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 85.71% | Val: Loss -0.34  Acc(top1) 51.93% | HA 0.00@0

SP-[1] Epoch: 69/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 84.60% | Val: Loss nan  Acc(top1) 56.52% | HA 0.00@0

SP-[1] Epoch: 70/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 85.60% | Val: Loss nan  Acc(top1) 52.66% | HA 0.00@0

SP-[1] Epoch: 71/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 88.84% | Val: Loss -0.29  Acc(top1) 57.73% | HA 0.00@0

SP-[1] Epoch: 72/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 86.05% | Val: Loss nan  Acc(top1) 48.55% | HA 0.00@0

SP-[1] Epoch: 73/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 85.94% | Val: Loss -0.08  Acc(top1) 57.73% | HA 0.00@0

SP-[1] Epoch: 74/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 84.04% | Val: Loss -0.15  Acc(top1) 55.56% | HA 0.00@0

SP-[1] Epoch: 75/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.14  Acc 84.60% | Val: Loss nan  Acc(top1) 58.70% | HA 0.00@0

SP-[1] Epoch: 76/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 85.60% | Val: Loss nan  Acc(top1) 52.66% | HA 0.00@0

SP-[1] Epoch: 77/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 85.04% | Val: Loss nan  Acc(top1) 63.04% | HA 0.00@0

SP-[1] Epoch: 78/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.13  Acc 85.38% | Val: Loss nan  Acc(top1) 50.00% | HA 0.00@0

SP-[1] Epoch: 79/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 84.15% | Val: Loss nan  Acc(top1) 54.35% | HA 0.00@0

SP-[1] Epoch: 80/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 86.05% | Val: Loss nan  Acc(top1) 64.01% | HA 0.00@0

SP-[1] Epoch: 81/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.11  Acc 86.50% | Val: Loss nan  Acc(top1) 56.52% | HA 0.00@0

SP-[1] Epoch: 82/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 84.38% | Val: Loss nan  Acc(top1) 50.24% | HA 0.00@0

SP-[1] Epoch: 83/1600 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.12  Acc 85.60% | Val: Loss nan  Acc(top1) 60.39% | HA 0.00@0

